203 93.56 -7.125741796875 497.28953671455383 13 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 93.59 -7.2060796875 532.792788028717 14 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.26 -7.12818505859375 568.2888350486755 15 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.3 -7.166841455078125 603.8008522987366 16 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 90.11 -6.8052216796875 639.3040935993195 17 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.45 -7.163547021484375 674.8142006397247 18 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 92.13 -6.996501416015625 710.32062458992 19 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.5 -7.231484375 745.8626327514648 20 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 94.59 -7.5701306640625 781.3759055137634 21 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
203 95.27 -7.8454978515625 816.8572719097137 22 {'batch_size': 512, 'epochs': 34, 'h_flip': True, 'learning_rate_init': 0.00017907477567911552, 'lr_decay': 88, 'momentum': 0.9697476465908497, 'patience': 43, 'resize_crop': True, 'shuffle': False, 'tolerance': 0.005424636458110684, 'v_flip': True, 'weight_decay': 0.0012385509852278125}
